,54941535b9af654d7e858002dccbeb16ad7432b2,34fedb90659d21a677b78707f892d1729d18cf08,c097f2e9b412a488438ce1013ba39a9a2bb79606,1265de45c56fe1826297f2bf4b29e6565a561d55,4083d711401cf2860570651b449560be8575b403,37c40e060ddad74425de01ecb5a3ac14e63db83a,037db454ca0f3fcc61e44a8139c5f11f375a1949,afe94fd5f814179361c2fc179b46cef1464d7f90
ScheduledThreadPoolExecutorZeroCheck,0,0,0,0,0,0,0,0
SelfAssignementCheck,0,0,0,0,0,0,0,0
SerializableFieldInSerializableClassCheck,0,0,0,0,0,0,0,0
SerializableObjectInSessionCheck,0,0,0,0,0,0,0,0
SerializableSuperConstructorCheck,0,0,0,0,0,0,0,0
ServletInstanceFieldCheck,0,0,0,0,0,0,0,0
ShiftOnIntOrLongCheck,0,0,0,0,0,0,0,0
SillyEqualsCheck,0,0,0,0,0,0,0,0
SillyStringOperationsCheck,0,0,0,0,0,0,0,0
SpringComponentWithWrongScopeCheck,0,0,0,0,0,0,0,0
SpringIncompatibleTransactionalCheck,0,0,0,0,0,0,0,0
SpringScanDefaultPackageCheck,0,0,0,0,0,0,0,0
StaticMultithreadedUnsafeFieldsCheck,0,0,0,0,0,0,0,0
StreamConsumedCheck,0,0,0,0,0,0,0,0
StreamNotConsumedCheck,0,0,0,0,0,0,0,0
StringBufferAndBuilderWithCharCheck,0,0,0,0,0,0,0,0
StringCallsBeyondBoundsCheck,0,0,0,0,0,0,0,0
SymmetricEqualsCheck,0,0,0,0,0,0,0,0
SyncGetterAndSetterCheck,0,0,0,0,0,0,0,0
SynchronizationOnGetClassCheck,0,0,0,0,0,0,0,0
SynchronizationOnStringOrBoxedCheck,0,0,0,0,0,0,0,0
SynchronizedFieldAssignmentCheck,0,0,0,0,0,0,0,0
SynchronizedOverrideCheck,0,0,0,0,0,0,0,0
ThreadLocalCleanupCheck,0,0,0,0,0,0,0,0
ThreadOverridesRunCheck,0,0,0,0,0,0,0,0
ThreadRunCheck,0,0,0,0,0,0,0,0
ThreadSleepCheck,0,0,0,0,0,0,0,0
ThreadWaitCallCheck,0,0,0,0,0,0,0,0
ToArrayCheck,0,0,0,0,0,0,0,0
ToStringReturningNullCheck,0,0,0,0,0,0,0,0
TransactionalMethodVisibilityCheck,0,0,0,0,0,0,0,0
TwoLocksWaitCheck,0,0,0,0,0,0,0,0
UnclosedResourcesCheck,0,0,0,0,0,0,0,0
UnusedReturnedDataCheck,0,0,0,0,0,0,0,0
UnusedThrowableCheck,0,0,0,0,0,0,0,0
UselessIncrementCheck,0,0,0,0,0,0,0,0
ValueBasedObjectUsedForLockCheck,0,0,0,0,0,0,0,0
VolatileNonPrimitiveFieldCheck,0,0,0,0,0,0,0,0
VolatileVariablesOperationsCheck,0,0,0,0,0,0,0,0
WaitInSynchronizeCheck,0,0,0,0,0,0,0,0
WrongAssignmentOperatorCheck,0,0,0,0,0,0,0,0
